N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.065397,1,0,1,0,1,0,1,0,0.3447,0.052936,0,0.36062,0,0.070374,0,96.413,0,0.7211,0,5.7295,0
600,8,0.19079,1,0,1,0,1,0,1,0,0.17902,0.066516,0,0.18299,0,0.18176,0,85.333,0,-1.3293,0,7.6991,0
600,8,0.23,1,0,1,0,1,0,1,0,0.23228,0.02334,0,0.23129,0,0.2388,0,66.348,0,0.69629,0,2.4988,0
600,8,0.35949,1,0,1,0,1,0,1,0,0.25623,0.06931,0,0.25489,0,0.38664,0,75.107,0,1.0572,0,8.0044,0
600,8,0.33693,1,0,1,0,1,0,1,0,0.28844,0.011335,0,0.30168,0,0.38944,0,64.321,0,-0.013008,0,2.2962,0
600,8,0.10977,1,0,1,0,1,0,1,0,0.32202,0.053449,0,0.31637,0,0.10554,0,83.252,0,-1.9321,0,8.2093,0
600,8,0.19934,1,0,1,0,1,0,1,0,0.11219,0.065214,0,0.12815,0,0.20899,0,92.381,0,-0.87069,0,5.6605,0
600,8,0.12138,1,0,1,0,1,0,1,0,0.32051,0.058089,0,0.34785,0,0.13306,0,82.423,0,0.03718,0,4.6855,0
600,8,0.31215,1,0,1,0,1,0,1,0,0.18679,0.041625,0,0.18708,0,0.31675,0,71.031,0,1.0135,0,6.9885,0
600,8,0.3402,1,0,1,0,1,0,1,0,0.11016,0.027595,0,0.10639,0,0.33153,0,70.267,0,-1.327,0,8.8638,0
600,8,0.12353,1,0,1,0,1,0,1,0,0.35302,0.070556,0,0.30456,0,0.12465,0,89.52,0,-2.0217,0,7.8783,0
600,8,0.15509,1,0,1,0,1,0,1,0,0.32689,0.058473,0,0.29362,0,0.13973,0,79.61,0,-2.4273,0,8.5559,0
600,8,0.15904,1,0,1,0,1,0,1,0,0.1369,0.067695,0,0.14547,0,0.16949,0,93.782,0,-0.021319,0,2.4196,0
600,8,0.25456,1,0,1,0,1,0,1,0,0.17542,0.041401,0,0.17024,0,0.24091,0,72.363,0,1.6609,0,9.0484,0
600,8,0.28786,1,0,1,0,1,0,1,0,0.19549,0.030921,0,0.21133,0,0.27996,0,67.987,0,1.972,0,7.7123,0
600,8,0.13428,1,0,1,0,1,0,1,0,0.30515,0.020891,0,0.30334,0,0.13442,0,66.953,0,-1.3727,0,5.2227,0
600,8,0.094249,1,0,1,0,1,0,1,0,0.33131,0.061881,0,0.34163,0,0.10253,0,91.959,0,0.22255,0,1.7817,0
600,8,0.16677,1,0,1,0,1,0,1,0,0.35244,0.041265,0,0.38019,0,0.16903,0,71.149,0,0.11952,0,8.9303,0
600,8,0.060277,1,0,1,0,1,0,1,0,0.076223,0.02973,0,0.065323,0,0.054415,0,86.174,0,2.3506,0,8.86,0
600,8,0.22986,1,0,1,0,1,0,1,0,0.062549,0.033954,0,0.065219,0,0.22986,0,82.323,0,-0.18044,0,2.3161,0
600,8,0.15036,1,0,1,0,1,0,1,0,0.26036,0.025125,0,0.20433,0,0.12189,0,69.463,0,-2.6783,0,9.2038,0
600,8,0.21603,1,0,1,0,1,0,1,0,0.2158,0.065787,0,0.24664,0,0.22661,0,79.583,0,0.041146,0,5.3406,0
600,8,0.23325,1,0,1,0,1,0,1,0,0.13671,0.055917,0,0.13991,0,0.22571,0,82.659,0,-0.6559,0,2.5365,0
600,8,0.1776,1,0,1,0,1,0,1,0,0.32839,0.063653,0,0.35465,0,0.19365,0,78.309,0,0.20357,0,3.0246,0
600,8,0.33367,1,0,1,0,1,0,1,0,0.18948,0.028573,0,0.18411,0,0.30394,0,67.72,0,-2.138,0,7.0864,0
600,8,0.14734,1,0,1,0,1,0,1,0,0.2123,0.026233,0,0.21162,0,0.15296,0,68.502,0,0.22017,0,2.5897,0
