N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.36,1,0,1,0,1,0,1,0,0.11,0.043984,0,0.11772,0,0.39151,0,77.422,0,0.54683,0,5.5054,0
600,8,0.36,1,0,1,0,1,0,1,0,0.16,0.033956,0,0.17174,0,0.39619,0,69.245,0,-1.3403,0,7.6015,0
600,8,0.36,1,0,1,0,1,0,1,0,0.36,0.043924,0,0.30374,0,0.32638,0,68.007,0,-2.1001,0,7.5139,0
600,8,0.31,1,0,1,0,1,0,1,0,0.26,0.043984,0,0.28806,0,0.34281,0,69.023,0,0.065295,0,5.4356,0
600,8,0.21,1,0,1,0,1,0,1,0,0.26,0.033943,0,0.2629,0,0.23751,0,68.353,0,1.0541,0,5.5544,0
600,8,0.36,1,0,1,0,1,0,1,0,0.21,0.053953,0,0.20984,0,0.37393,0,73.534,0,0.79934,0,3.499,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.034006,0,0.32219,0,0.28337,0,67.063,0,1.0505,0,3.4961,0
600,8,0.16,1,0,1,0,1,0,1,0,0.11,0.05402,0,0.11778,0,0.17095,0,88.062,0,-0.59003,0,7.4247,0
600,8,0.36,1,0,1,0,1,0,1,0,0.31,0.023903,0,0.33008,0,0.3578,0,65.203,0,0.28602,0,5.4581,0
600,8,0.11,1,0,1,0,1,0,1,0,0.06,0.0039976,0,0.057326,0,0.10119,0,64.527,0,1.3053,0,3.515,0
600,8,0.26,1,0,1,0,1,0,1,0,0.21,0.013989,0,0.20727,0,0.22765,0,64.955,0,-1.1056,0,7.5925,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.014007,0,0.40116,0,0.26616,0,64.516,0,1.0631,0,5.5627,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.023993,0,0.3298,0,0.059458,0,74.935,0,-0.049739,0,1.5004,0
600,8,0.11,1,0,1,0,1,0,1,0,0.16,0.034068,0,0.17114,0,0.11668,0,75.184,0,-0.69888,0,5.5445,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.044022,0,0.1815,0,0.2726,0,73.243,0,-0.21721,0,5.5717,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.014006,0,0.34953,0,0.063198,0,67.759,0,-0.3198,0,7.4806,0
600,8,0.11,1,0,1,0,1,0,1,0,0.11,0.03397,0,0.11766,0,0.11599,0,78.199,0,0.14706,0,7.4251,0
600,8,0.16,1,0,1,0,1,0,1,0,0.31,0.053974,0,0.34671,0,0.16615,0,76.455,0,0.5522,0,3.5134,0
600,8,0.31,1,0,1,0,1,0,1,0,0.11,0.044197,0,0.10931,0,0.29682,0,78.797,0,-1.3715,0,7.5512,0
600,8,0.16,1,0,1,0,1,0,1,0,0.26,0.033959,0,0.26572,0,0.16368,0,70.326,0,-0.46799,0,3.5269,0
600,8,0.21,1,0,1,0,1,0,1,0,0.11,0.013977,0,0.10064,0,0.18802,0,66.389,0,-2.1019,0,7.5089,0
600,8,0.06,1,0,1,0,1,0,1,0,0.36,0.044125,0,0.36312,0,0.065913,0,89.196,0,1.6495,0,7.4307,0
600,8,0.26,1,0,1,0,1,0,1,0,0.06,0.0039968,0,0.061951,0,0.2428,0,64.356,0,-0.18128,0,5.5049,0
600,8,0.16,1,0,1,0,1,0,1,0,0.36,0.044014,0,0.32714,0,0.14404,0,74.474,0,0.20351,0,1.5012,0
600,8,0.31,1,0,1,0,1,0,1,0,0.11,0.053982,0,0.10555,0,0.2808,0,84.298,0,1.5519,0,5.4993,0
600,8,0.26,1,0,1,0,1,0,1,0,0.36,0.0040041,0,0.38803,0,0.25525,0,64.046,0,-1.2051,0,3.5135,0
